Seasons,Hours of Performance,Rating,House,Name,Size,Parfumo Rating,Notes,Accords,Genre,Silliage,Sprays,Perfumer,Comments
Cold,10,8.75,Amouage,Interlude Man,22,7.8,,smoky-spicy,Spice,4,,Pierre Negrin,Incense- 5 sprays 
Cold,3,8,Amouage,Journey 2015,2,8.1,,spicy-smokey,,2,7,Pierre Negrin and Alberto Morillas,
Any,6,8.25,Amouage,Journey Man,10,8.1,,spicy-smokey,,4,6,Pierre Negrin and Alberto Morillas,
Any,6,8.5,Amouage,Jubilation 40 Extrait,20,8.5,,oriental-woody,Fougere,4,4,Bertrand Duchaufour,sugar coated blackberry fougere
Any,,0,Amouage,Jubilation XXV 2019 WMS11979-1 ,10,8.4,amber-sweet-warm spicy-woody-balsamic-fruity-fresh spicy-oud-aromatic-honey,oriental-spicy,Fougere,,,Bertrand Duchaufour,
Cold,6,9,Amouage,Jubilation XXV Man,52,8.4,amber-sweet-warm spicy-woody-balsamic-fruity-fresh spicy-oud-aromatic-honey,oriental-spicy,Fougere,2,,Bertrand Duchaufour,
Cold,12,8.5,Amouage,King Blue,5,7.7,,woody-oriental,Oud,5,2,Alexis Grugeon and Hamid Merati-Kashani,First 10 minutes is animalic balanced with citrus and sweetness of amber 
Any,8,7.75,Amouage,Line 618,2,6.6,,creamy-leathery,,4,4,Nathalie Lorson,makeup powdery 
Any,8,7.75,Amouage,Meander,2,7.6,,creamy-woody,Feminine,3,7,Mackenzie Reilly,nice sandlewood but is lipsticky and too feminine
Cold,6,8,Amouage,Memoir Man,2,8,,woody-spicy,Spice,4,,Karine Vinchon Spehner,Incense- nice aromatics at the start
Cold,10,8.75,Amouage,Opus XVI Timber,15,7.8,,woody-spicy,Wood,5,3,Alexis Grugeon,6 sprays was too much. woods and patchouli 
Cold,12,8,Amouage,Outlands,7,8.5,,spicy-woody,Amber,6,3,Cécile Zarokian,Nice balance but a little too sweet
Cold,,8.5,Amouage,Overture Man,2,8,,spicy-woody,Spice,5,2,Karine Vinchon Spehner,boozy and animalic opening not work safe
Hot,8,7.5,Amouage,Portrayal Man,2,7.9,,floral-woody,Wood,4,,Pierre Negrin,Green florals and incense. its nice
Cold,8,8.25,Amouage,Purpose 50,10,8.4,,spicy-woody,Spice,3,4,Quentin Bisch,skin scent after a couple hours
Cold,,8,Amouage,Reasons,2,7.2,,woody-spicy,,,,Bertrand Duchaufour,
Cold,8,7,Amouage,Reckless Leather,2,7.4,,spicey-woody,Animalic,4,3,Alberto Morillas and Pierre Negrin,
Any,8,7.75,Amouage,Reflection 45,5,8.8,,floral-powdery,Powder,4,,Lucas Sieuzac,Dior Homme Parfume
Hot,6,7,Amouage,Reflection Man,2,8.6,,floral-fresh,Floral,?,,Lucas Sieuzac,
Cold,,8.75,Amouage,Royal Tobacco ,10,8.1,,smokey-spicy,Spice,?,,Cécile Zarokian,Tobacco- layer with silver Oud 
Cold,8,8.25,Amouage,Silver Oud,10,8,woody-leather-oud-smoky-earthy-balsamic,smokey-woody,Oud,4,,Cécile Zarokian,barnyard try with royal tobacco
Any,,7.75,Amouage,Woods Symphony,5,7.4,,woody-floral,,,,Jacques Cavallier Belletrud,not really my jam
Any,4,8.25,Antonio Puig,Quorum  '01-'05,30,7.5,,spicy-leathery,Fougere,3,5,,
Any,12,8.5,Arabian Oud,Amiri,5,8.7,citrus-woody-powdery-amber-fresh spicy-musky-sweet-soft spicy-vanilla,fresh-citrusy,Fresh,?,,Miroslav Petkov,
Hot,8,8.5,Arabian Oud,Centro,100,8.4,,citrusy-sweet,Aquatic,4,,,
Any,12,8.5,Arabian Oud ,Sultani,105,8.6,musky-warm spicy-citrus-powdery-woody-fruity-sweet-floral-amber-aromatic-,fresh-citrusy,Musk,6,3,,musk bomb nuclear performer
Any,6,8,Aramaf,Club De Nuit Intense Man Limited Edition (Creed Aventus),100,8.2,,citrusy-smoky,Citrus,1,,,Pineapple sits close to skin but scent bubble
Hot,4,8,Aramaf,Club De Nuit Sillage (Creed GIT),100,7.3,,citrusy-fresh,Citrus,4,,,Gym- citrus synthetic metallic rose powder
Hot,4,8,Aramaf,Legesi Homme (Chanel Egoiste Platinum),100,7.9,,fresh-fougèreartig,Fougere,2,,,
Hot,,8.25,Aramis,New West,10,7.6,,fresh-spicy,Fougere,2,,Harry Fremont,Green and a little powdery
Cold,5,8.75,Areej le Doré ,Russian Oud II,1,8.5,,resinous-woody,Oud,3,1,Russian Adam,natural musk slightly barnyard cocao 
Any,7,8.25,Aromas de Salazar,1882,4,8,,,Fougere,3,4,Michael Salazar,powdery fresh not barbershop fresh laundry with a little floral pink downy fabric softner
Any,,8,Aromas de Salazar,1917,2,8,,,Chypre,,,Michael Salazar,
Any,,8.25,Aromas de Salazar,1953,2,8,amber-spicy,,Amber,,,Michael Salazar,
Any,5,8.25,Aromas de Salazar,Oud Fougere,4,8,earthy-fougering,,Fougere,2,6,Michael Salazar,interesting oud aspect in a fougere blended to perfection 
Cold,8,8.25,Artisan Dixit,Amber Eternal,13,?,,,Amber,2,3,,Powdery Oud that starts out animalic Shalamale-- masculine take on vintage Guerlain Shalimar.
Hot,8,8,ATH,Blue Fever,5,7.9,aquatic-fresh-citrus-fruity-green,aquatic-fresh,Aquatic,2,,Aaron Terence Hughes,suttle or noseblind strong complement getter
Any,8,8.5,ATH,Hombre ,10,8.3,,citrusy-earthy,Blue,5,,Aaron Terence Hughes,Intense citrus to start and then turns blue
Any,6,8,ATH,Homme,5,8.5,vanilla-powdery-iris-woody-amber-sweet-musky-earthy-warm spicy-aromatic,powdery-sweet,Vanilla,2,,Aaron Terence Hughes,
Any,6,8.5,ATH,Legend,30,8,cirtus-amber-aromatic-woody-balsamic-fresh spicy-animalic-earthy-mossy-patchouli,citrusy-fresh,Citrus,6,4,Aaron Terence Hughes,aventus 
Any,8,8,ATH,Notorious ,10,8.6,vanilla-citrus-powdery-woody-sweet-aromatic-floral-warm spicy-rum,sweet-citrusy,Vanilla,4,,Aaron Terence Hughes,
Cold,8,8.75,ATH,Slut Elixir,10,8.8,fruity-vanilla-sweet-aromatic-powdery-green-amber-woody-citrus-musky,sweet-fruity,Vanilla,6,,Aaron Terence Hughes,strong performance and smells fantastic
Hot,6,9,ATH ,Supersonic,10,8.6,citrus-fruity-fresh spicy-aromatic-fresh-earthy-sweet-woody-musky-mossy,fresh-citrusy,Citrus,6,3,Aaron Terence Hughes,Better than Aventus smoky with  a little pineapple
Any,6,8.25,Azzaro,Pour Homme Vintage 1978,7,7.7,,spicy-woody,Fougere,2,7,Gerard Anthony and Richard Wirtz,
Cold,2,7.5,Azzaro,The Most Wanted,10,8,lavender-citrus-fresh spicy-mossy-aromstic-alcohol-earlthy-woody-herbal-floral,sweet-spicy,,4,,"Michel Girard, Nadège Le Garlantezec and Shyamala Maisondieu",
Cold,2,7,Azzaro,The Most Wanted Parfum,10,8.3,vanilla-woody-fresh spicy-powdery-fresh,sweet-spicy,,4,,"Michel Girard, Nadège Le Garlantezec, Shyamala Maisondieu and Roxanne Kirkpatrick",
Any,4,7.5,Azzaro,Wanted EDP,11,5.8,aromatic-woody-fresh spicy-heebal-earthy,synthetic-citrusy,,4,,Fabrice Pellegrin and Olivier Cresp,Plain
Cold,,0,Balenciaga,Cristobal 25,2,6.7,,woody-earthy,Wood,,,,
Cold,10,9,BDK,Gris Charnel Extrait,15,8.5,,spicy-woody,Wood,5,4,Mathilde Bijaoui,Slightly powdery
Cold,,0,Bentley,Bentley Intense,100,7.6,woody-warm spicy-amber-fresh spicy-rum-smokey-leather-balsamic-aromatic-cinnamon,spicy-woody,Wood,?,,Nathalie Lorson,
Any,6,8,Boadicea the Victorious,Blue Sapphire ,5,8.1,,spicy-oriental,Fougere,2,,Christian Provenzano,Animalic decent scent
Cold,,8,Bortnikoff ,Lao Oud,1,8,,woody-animal,Oud,?,,Dmitry Bortnikoff,
Cold,4,8,Bortnikoff ,Sayat Nova,1,8,,woody-fruity,Oud,1,2,Dmitry Bortnikoff and Rajesh Balkrishnan,chocolate not animalic
Cold,2,5,Burberry,Hero EDP,1,7.3,amber-woody-warm spicy-aromatic-balsamic-smokey,woody-sweet,,?,,Aurélien Guichard,Plain
Any,5,8,Bvlgari ,Kobraa,30,8.5,,spicy-smoky,Fougere,2,7,Jacques Cavallier Belletrud,Different
Any,8,9.25,Bvlgari ,Tygar Extrait,5,8.4,,citrusy-fresh,Citrus,4,2,Jacques Cavallier Belletrud,rich and decadent 
Hot,,0,Byredo,Bal d'Afrique,7,8.1,,floral-fresh,Feminine,,,Jérôme Epinette,
Any,4,8.5,Byredo,Bal D'Afrique Absolu De Parfum,10,8.6,,sweet-fruity,Feminine,4,4,Jerome Epinette,
Hot,,6,Carolina Herrerra,Bad Boy Cobalt,1,7.4,aromatic-woody-fruity-powder-fresh soicy-earthy-sweet-soft spicy-herbal-rose,sweet-synthetic,,?,,Domitille Michalon Bertier,Great
Any,8,9,Celine,Dans Paris,10,8.4,"vanilla,floral-powdery-fresh spicy-musky-sweet-citrus",sweet-creamy,Powder,?,,,Dough Vanilla Powder 
Cold,6,8,Celine ,Black Tie,6,8.6,powdery-vanilla-iris-woody-earthy-musky-sweet-mossy,sweet-powdery,Powder,2,,,Doughy vanilla - musk - a little Woods. projects good for 2 hours
Any,4,7.5,Chanel,1957,10,8.3,powdery-musky-iris-aidehydic-woody-white floral-citeus-fresh-sweet-earthy,powdery-fresh,Powder,1,,Olivier Polge,Light scent
Hot,4,7,Chanel,28 Le Pausa,6,7.6,,green-powdery,Powder,2,,Jacques Polge,Lipstick dries down powdery and mature. not good
Hot,5,8.25,Chanel,Allure Homme Édition Blanche,5,8.5,,citrusy-fresh,Citrus,3,,,Lemon Pie
Any,2,7,Chanel,Allure Homme Édition Extreme,5,8.3,,fresh-sweet,Fresh,0,,Jacques Polge,No performance 
Any,8,9,Chanel,BDC EDP,30,8.2,citrus-amber-woody-fresh spicy-aromatic-warm spicy-smokey-fresh-balsamic-powdery,fresh-citrusy,Blue,4,,Jacques Polge,woody and strong
Any,6,8.75,Chanel,BDC EDT,10,7.7,Citrus,fresh-citrusy,Blue,3,3,Jacques Polge,6 hours projection until skin scent
Any,8,9.5,Chanel,BDC L'xclusiv,40,7.3,Wood,woody-spicy,Powder,5,7,Olivier Polge,Starts off like sauvage then gets real powdery
Any,4,7.5,Chanel,BDC Parfum,5,8.3,Wood,woody-fresh,Blue,1,,Olivier Polge,No performance 
Cold,6,9,Chanel,Coromandel EDP,6,8.4,,earthy-woody,,2,3,Jacques Polge,
Cold,,0,Chanel,Coromandel EDT,8,8.3,,woody-oriental,,,,Jacques Polge,
Cold,9,8,Chanel,Le Lion,5,8.2,,smoky-resinous,,3,,Olivier Polge,lipstick powdery leans feminine old woman smell 
Hot,,0,Clandestine Laboratories,Ashes,2,7.9,,?,,,,Mark Sage,
Any,,0,Clandestine Laboratories,Astoria,2,7.6,,green-floral,,,,Mark Sage,
Any,,0,Clandestine Laboratories,Certo,2,?,,woody-fresh,,,,Mark Sage,
All,,0,Clandestine Laboratories,Covert,2,9.3,,citrusy-resinous,,,,,
Any,,0,Clandestine Laboratories,Haunted,2,7.5,,spicy-citrusy,,,,Mark Sage,
Any,,0,Clandestine Laboratories,Haunted,2,7.5,,spicy-citrusy,,,,Mark Sage,
Cold,,0,Clandestine Laboratories,Master,2,7.6,,leathery-sweet,,,,Mark Sage,
Cold,,0,Clandestine Laboratories,Nova Chocolate,2,6.4,,gourmand-resinous,Gourmond,,,,
Any,,0,Clandestine Laboratories,Oaxaca,2,?,,green-spicy,,,,Mark Sage,
Hot,,0,Clandestine Laboratories,Sea Otter,2,8,,aquatic-green,,,,Mark Sage,
Hot,,0,Clandestine Laboratories,Vert,2,?,,,,,,,
Any,6,8.75,Clandestine Laboratories ,Film Noir,75,8.3,"Spanish lavender, neroli, tomar seed, rose, allspice, orris, honey, vanilla absolute, patchouli, Buddhawood, vetiver, oud, choya loban, tonka, civet - oakmoss",woody-powdery,Fougere,,,Mark Sage,
Any,,8.75,Clandestine Laboratories ,Island,2,?,"juniper, yuzu, soapy white florals, green peppercorn, blue lotus, hiba wood, tolu balsam, incense, tobacco, ambergris, oakmoss, vanilla, white musks",cool-spicy,Spice,,,Mark Sage,
Any,8,8.75,Clandestine Laboratories ,Racer-X,60,?,"lemon, bergamot, mandarin, bitter orange, rose geranium, rosewood, clary sage, cardamom, mace, dark fruits, salty sea air, teak, frankincense, balm of Gilead, mimosa, vetiver, cedar moss, patchouli, muguet, and musk",,Fresh,3,5,Mark Sage,line soirt cologne
Any,4,7.75,Clandestine Laboratories ,Sanctuary,2,?,"bergamot, cedrat, tomato leaf, maté, frankincense, opoponax, balsam Peru, cistus, musk",,,1,7,Mark Sage,
Any,,8.5,Clandestine Laboratories ,Silver,2,?,"mint, saro, African helichrysum, lavender, thyme, green peppercorn, blue water lily, myrrh, styrax, patchouli, vetiverol, pine moss, sandalwood, fossil amber and ambergris",minty-smoky,Amber,,,Mark Sage,
Hot,,8.25,Clandestine Laboratories ,The Boy,50,8,"lemon iced tea, guava, passion fruit, hyssop, lavender, iris, rose, cedar, tobacco, vetiver, treemoss and some primal musk",fruity-citrusy,Fruity,,,Mark Sage,
Cold,,0,Clive Christen,Blonde Amber,1,9,Amber,sweet-spicy,,?,,Vincent Ricord,
Hot,,0,Concreted,A Thousand Miles,1,6.5,,green-fresh,,,,?,
Any,,0,Concreted,Dyed,1,7.1,,woody-fresh,,,,?,
Cold,,0,Concreted,Sesame Shower,1,7.7,,gourmond-woody,,,,?,
Any,8,9.5,Creed,Absolu Aventus  ,70,8.4,Citrus,fruity-fresh,Fruity,3,7,,smokey pineapple but need to reapply
Hot,8,9,Creed,Aventus Cologne ,35,8.4,,fresh-citrusy,Fresh,6,4,Olivier Creed,
Any,8,9.25,Creed,Bois de Portugal ,35,8,Wood,woody-spicy,Fougere,3,,Olivier Creed,
Cold,8,8.25,Creed,Centaurus,10,7.8,,spicy-sweet,Spice,5,4,,cinnamon vanilla and tobacco 
Any,6,8,Creed,Green Irish Tweed,10,8.1,Ozonic,green-fresh,Green,3,6,Olivier Creed and Pierre Bourdon,Excellent but weak
Any,,0,Creed,Green Irish Tweed 2016,15,8.1,Ozonic,green-fresh,,?,,Olivier Creed and Pierre Bourdon,
Any,2,7.5,Creed,Himalaya,5,7.7,Citrus,fresh-citrusy,Fougere,0,,Olivier Creed and Erwin Creed, Better than SMW but weak
Any,4,8.25,Creed,Himalaya '17 C3917R01,30,7.7,Citrus,fresh-citrusy,Fougere,2,,Olivier Creed and Erwin Creed,
Hot,,7.5,Creed,Milliseme Imperial,5,7.9,Marine,fresh-citrusy,Fresh,0,,Olivier Creed and Pierre Bourdon,Well blended but close to skin
Any,,0,Creed,Milliseme Imperial 2016,1,7.9,,fresh-citrusy,Fresh,,,,
Any,1,5,Creed,Original Vetiver ,11,8,Wood,fresh-green,Fresh,?,,,Excellent but weak
Cold,12,7,Creed,Oud Zarian ,10,7.3,,spicy-woody,Wood,6,,,
Hot,,0,Creed,Royal Mayfair,10,7.8,,floral-fresh,Floral,?,,Olivier Creed,
Any,8,9.5,Creed,Royal Oud ,60,8.2,Wood,woody-spicy,Wood,?,,Olivier Creed and Julien Rasquinet,
Any,8,9.5,Creed,Royal Oud 2010,10,8.2,Wood,woody-spicy,Wood,?,5,Olivier Creed and Julien Rasquinet,
Hot,3,8,Creed,Silver Mountain Water,5,7.9,Citrus,fresh-citrusy,Fougere,3,5,,
Any,4,9,Creed,Viking Cologne,105,7.3,Aromatic,fresh-citrusy,Fougere,?,,Olivier Creed and Erwin Creed,
Any,8,9.25,Creed,Viking F001745,100,7.7,Aromatic,spicy-fresh,Fougere,2,,Olivier Creed and Erwin Creed,
Hot,4,8,Creed,Virgin Island Water,5,8.3,Citrus,fresh-citrusy,Citrus,?,,Olivier Creed and Erwin Creed,
Any,10,2,D&S Durga,Burning Barbershop,10,7.7,,smokey-spicey,Fougere,5,3,David Seth Moltz,smells like a campfire 
Cold,6,7.5,Davidoff ,Zino,100,7.8,Wood,woody-spicy,Fougere,?,,Michel Almairac,
Any,8,8,Dior,Dior Homme 2020,10,7.7,Wood,woody-fresh,Wood,2,,François Demachy,similar to Prada l'homme
Cold,6,8.5,Dior,Homme Intense 2025,10,8.5,Iris,sweet-powdery,Powder,?,,,
Any,1,5,Dior,Sauvage EDP,100,7.8,Spice ,fresh-spicy,Fougere,?,,François Demachy,No performance 
Cold,8,9,Dior,Sauvage Elixir 03-2022 2C05,65,8.1,Spice,spicy-woody,Spice,4,3,François Demachy,kind of weak
Any,6,8.75,Diptique,Orpheon EDP,12,8.1,Powder,floral-fresh,Linen,1,6,Olivier Pescheux,
Cold,6,6,Dolce & Gabbana ,Devotion for Men,1,5.4,Coffee ,gourmand-spicy,Gourmond,?,,Olivier Cresp,Plain
Cold,6,5,Dolce & Gabbana ,Luminous Night,10,8.6,,oriental-sweet,Spice,1,,Jean-Christophe Hérault,Very weak for what's in it
Cold,5,8.75,Dolce & Gabbana ,The One Intense,100,7.5,Spice ,sweet-floral,Powder,1,,Jean-Christophe Hérault,
Cold,6,7.75,Dolce & Gabbana ,The One Parfum,10,8.4,,sweet-spicy,Powder,1,,Jean-Christophe Hérault,sits too close to skin
Hot,,0,DUA,Best Citrus Ever (Irois by Henry Jacques),2,7.7,,citrusy-fresh,,,,,
Any,,0,DUA,Cosmopolitan Vintage (Dior Eau Sauvage),33,?,,,Fougere,,,,
Any,,0,DUA,"For You, Sir!",30,?,,,,,,,
Any,,0,Dua,Invasion of the Barbers (MDCI Invasion Barbaré),33,8.1,,spicy-woody,Fougere,,,Dua,
Any,,0,DUA,Invasion of the Royal Barbers (MDCI Invasion Barbarè & Creed BdP),33,8.9,,fresh-chypre,Fougere,,,,
Any,,0,DUA,Man Card (Gucci Pour Homme 2003),33,?,,,Fougere,,,,
Cold,,0,DUA,Oud of Ulya (Amouage Oud Ulya),33,?,,,Fougere,,,,
Cold,,0,DUA,Takes 2 To Tango (Tango by Masque Milano),2,?,,,,,,,
Any,,0,DUA,The SHIT,30,?,,,,,,,
Cold,12,8.75,Essential Parfums,Bois Imperial Extrait,5,8.3,,spicy-woody,Wood,6,3,Quentin Bisch,"3 sprays no rose, leather, a little green for, cedar and a little sweetness to balance it out"
Hot,6,8.75,Essential Parfums ,Bois Imperial EDP,10,8.1,,fresh-woody,,4,3,Quinten Bisch,all seasons fresh woody scent
Cold,8,8.75,Essential Parfums ,Patchouli Mania,10,6.7,,earthy-spicy,Patchouli,4,5,Fabrice Pellegrin,
Cold,,0,Etat Libre D'Orange,500 Years,2,6.9,,spicy-floral,,?,,,
Any,,0,Etat Libre D'Orange,Archives 69,2,6.9,,spicy-fruity,,?,,Christine Nagel,
Cold,,0,Etat Libre D'Orange,Arranger Le Soleil Marquis,2,7.4,,resinous-spicy,,?,,Quentin Bisch,
Cold,,0,Etat Libre D'Orange,Clean Suede (Tom Finland),2,7.3,,leathery-spicy,,?,,,
Cold,,0,Etat Libre D'Orange,Divin' Enfant,2,7.2,,sweet-floral,,?,,Antoine Lie,
Any,,0,Etat Libre D'Orange,Eud du Protection,2,7.1,,floral-spicy,,?,,Antoine Lie and Antoine Maisondieu,
Hot,,0,Etat Libre D'Orange,Exit The King,2,7.1,,floral-fresh,,?,,Cecile Matton and Ralf Schwieger,
Any,,0,Etat Libre D'Orange,Experimentum Crusis,2,7.1,,floral-spicy,,?,,Quentin Bisch,
Cold,,0,Etat Libre D'Orange,Fat Electrician ,2,7.3,,woody-spicy,,?,,Antoine Maisondieu,
Cold,,0,Etat Libre D'Orange,Frustration,2,7.2,,gourmond-sweet,,3,,,
Hot,,0,Etat Libre D'Orange,Hermann à mes côtés me paraissait une ombre,2,7.5,,spicy-synthetic,,?,,Quentin Bisch,
Hot,,0,Etat Libre D'Orange,Les Fleurs du déchet – I am Trash,2,7.1,,fruity-fresh,,?,,Daniela Andrier,
Cold,,0,Etat Libre D'Orange,Like This,2,7.1,,spicy-floral,,?,,Mathilde Bijaoui,
Cold,,0,Etat Libre D'Orange,Nostos,2,7.7,,lesthery-spicy,,?,,Jordi Fernández,
Cold,,0,Etat Libre D'Orange,Rein,2,7,,learhery-spicy,,?,,Antoine Lie,
Cold,,0,Etat Libre D'Orange,Rein Intense Insense ,2,7.6,,smoky-spicy,,?,,,
Hot,,0,Etat Libre D'Orange,Remarkable People,2,7.3,,spicy-fresh,,?,,Cecile Matton,
Any,,0,Etat Libre D'Orange,She was an Anomaly,2,6.9,,powdery-floral,,?,,Daniela Andrier,
Cold,,0,Etat Libre D'Orange,Soul of my Soul,2,7,,spicy-woody,,?,,,
Hot,,0,Etat Libre D'Orange,Sous Le Pont Mirabeau,2,6.8,,aquatic-fresh,,?,,,
Cold,,0,Etat Libre D'Orange,Spice Must Flow,2,7.4,,spicy-floral,,?,,,
Cold,,0,Etat Libre D'Orange,Story of Your Life,2,6.4,,sweet-gourmond,,?,,,
